id,name
1,CV. ELEXTRA
2,CV. BUTTA RATEA MANDIRI
3,KOPERASI KARYAWAN KALLA GROUP
4,PT. KAWAUSO TEKNOLOGI INDONESIA
5,KLINIK RINRA MEDIKA
6,CV. POINTS SUKSES INDONESIA
7,GAJAH PRINTING
8,CV. SITRA PRINT
9,Junji studio
10,PT. INTI KARSA PERSADA
11,PT. HND GEMILANG SOLUSINDO
12,PT. TOKOPEDIA
13,ATK MAKASSAR JAYA
14,PT. SHOPEE INTERNASIONAL INDONESIA
15,PT. HADJI KALLA TOYOTA
16,CV. WANA SATRIA KOMPUTINDO
17,LAGI KERJA
18,PT. KAWAN LAMA SOLUSI
19,PT. TANGGUH INTI PERKASA
20,PT. DIGDAYA OLAH TEKNOLOGI INDONESIA
21,PT. HOME CENTER INDONESIA (INFORMA)
22,PT. ALPINE INDO MAKMUR (TOKO SEMERU)
23,MGS CELL
24,MAHADEWA KOMPUTER
25,CV. PANDU NUSANTARA
26,TOKO SINAR MAS.
27,CV. INDAH TIRTA KENCANA
28,TOKO PURNAMA
29,PT. ANUTA KARYA PRIMA
30,TOKO DAMAI
31,PT. UNIBIZ KREASINDO UTAMA
32,CV. BERJAYA MAKMUR
33,JAYA KUNCI & SANITARY
34,UD. ANDIKA PUTRA
35,CENDRAWASIH LISTRIK
36,SINAR MAJU
37,Sinar mas
38,PT. KENARI DJAJA PRIMA
39,CV. IRFAN WALET
40,JAYA ABADI ELECTRIC
41,CV. QUEN BEE MAKASSAR
42,CV. QUEN BEE
